Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
105.95,121.61,174.29,-96.34,-72.181,-82.405,-128.66,0
-170.54,-90,-143.13,-71.57,8.13,-23.962,95.194,97.125
-33.69,135,-173.66,86.82,-50.194,-9.462,167.005,86.186
-115.46,-22.17,79.99,171.87,-74.055,71.565,108.435,50.194
0,-42.51,99.46,-137.12,-35.538,7.595,-104.036,-90
84.29,126.87,40.6,-93.18,-72.759,4.764,-84.289,-45
-123.69,-107.35,-161.57,53.13,-77.471,-90,-104.036,4.399
-105.64,-136.64,10.3,-105.95,-85.914,180,32.005,107.103
48.81,164.74,143.13,-98.13,180,-59.036,50.194,0
-90,123.69,135,113.2,-33.69,22.62,45,180
-38.66,167.47,171.87,-86.42,38.66,123.69,71.565,26.565
-86.99,-108.43,174.09,98.75,4.764,-24.444,-78.69,-63.435
105.26,-119.74,74.05,90,48.366,28.072,64.983,-18.435
54.46,-135,12.53,0,6.34,-172.875,-124.509,7.125
138.81,-105.26,-39.81,8.13,82.405,52.125,170.538,-129.806
0,-51.34,71.57,63.43,104.036,0,26.565,65.225
173.66,35.54,61.93,0,48.814,10.008,71.565,-126.87
86.82,39.81,93.18,-90,45,-108.435,63.435,-90
-84.81,7.59,-153.43,78.69,175.236,86.82,-81.87,0
0,129.81,-131.63,121.76,-90,-26.565,116.565,23.199
144.46,-167.91,66.04,-153.43,45,-56.31,59.744,18.435
171.87,-90,-50.19,-51.34,85.426,-53.13,7.352,-116.565
-175.24,158.96,-108.43,-130.91,109.29,-82.875,-119.055,-57.529
-102.09,43.03,108.43,-4.4,-105.255,-97.125,25.56,32.005
-101.31,56.98,-71.57,180,-130.601,-66.801,-35.838,90
-90,0,-90,-68.2,146.31,-160.346,79.38,0
95.19,-80.54,135,105.95,60.945,80.134,-63.435,14.036
-138.58,171.87,-71.57,63.43,54.462,-98.746,-90,15.255
81.87,-60.95,54.46,-164.48,45,-90,-73.301,-68.199
90,8.13,-159.68,135,-82.875,90,-90,-21.801
140.19,-33.69,-6.34,71.57,90,-156.801,45,55.491
-6.34,30.96,-12.53,139.4,48.013,12.095,-90,34.509
-123.69,78.69,34.38,-61.39,-157.38,84.289,29.055,38.66
0,-14.04,100.62,-90,114.775,170.538,90,-26.565
-53.97,41.63,-18.43,146.31,-116.565,107.819,-65.772,-135
-95.71,172.87,85.91,149.04,-124.992,-106.699,-93.366,-36.87
66.8,-132.71,-156.04,-90,-34.695,180,53.13,-45
-176.19,90,51.84,60.26,8.746,-154.983,-72.646,45
-165.38,-169.7,-75.96,53.62,-108.435,-68.199,-75.379,61.39
-90,39.29,-99.78,94.76,0,26.565,78.69,66.801
-135,11.31,53.97,-56.31,84.56,-176.424,87.797,-90
-90,-90,148.39,123.69,36.87,-90,66.038,0
74.93,175.91,17.65,74.74,-146.31,-60.642,90,-53.13
-122.74,75.96,-14.93,18.43,-164.745,40.236,62.354,-82.875
-160.56,97.13,-125.54,100.3,-30.964,3.576,-130.236,15.945
-56.31,-71.57,-93.18,-94.76,-111.038,-8.13,160.017,31.608
77.01,129.81,-164.05,-26.57,-45,-94.764,-66.801,84.289
-90,0,-137.12,-122.01,161.565,-90,124.992,-54.462
-142.43,135,127.57,-98.97,123.69,122.471,-18.435,-8.13
135,-29.36,-80.54,90,-90,84.806,23.962,8.13
-149.74,-20.56,-113.96,71.57,-41.186,96.34,-90,90
167.47,104.04,-28.07,129.29,-135,-135,-143.973,-90
-90,-137.49,-123.69,94.4,73.301,85.236,45,75.964
-148.57,108.43,-37.87,-135,15.255,-75.964,90,95.44
122.91,172.87,90,-90,-67.38,36.87,-86.309,53.13
26.57,-32.47,-130.91,171.87,73.301,38.66,-79.38,55.305
-33.69,-71.57,131.19,-53.97,-74.745,-153.435,68.199,99.462
110.56,-141.34,57.99,180,61.699,-132.274,-18.435,21.801
-113.96,55.3,116.57,83.99,98.746,-67.38,-107.103,-90
-11.31,9.46,-99.46,-65.22,53.13,-122.276,-65.225,90
77.47,106.7,-4.76,-164.74,22.62,-26.565,-73.301,135
-135,52.13,-146.31,-135,-71.565,0,127.569,105.255
-26.57,-90,-138.81,-123.69,-106.699,7.125,-36.027,86.634
36.87,-74.48,-39.81,172.87,-71.565,111.801,-87.274,135
100.3,-72.26,126.03,113.2,0,14.036,-6.34,90
146.31,153.43,-63.43,56.31,66.038,-130.236,59.421,-94.086
-83.99,146.31,90,62.59,26.565,-71.565,16.699,-90
90,-17.1,70.71,176.99,29.476,18.435,119.055,85.601
-50.19,0,120.96,110.56,-2.726,180,-2.862,9.462
-108.43,90,-140.19,180,-67.38,0,0,96.009
113.2,-34.99,180,-76.76,0,-90,30.964,-137.291
-90,171.25,-38.66,93.81,-15.945,0,38.66,126.87
5.19,-90,-143.13,-171.25,0,108.435,-90,87.138
-90,-77.8,77.47,-120.96,-90,153.435,33.69,-90
79.38,84.81,-135,55.01,71.565,-168.69,76.759,-87.274
180,149.62,-126.87,90,-85.914,-80.538,-32.471,-49.086
90,-36.87,74.74,-95.19,-85.601,74.055,23.962,46.637
0,-18.43,92.29,-90,53.13,-84.289,-84.806,5.194
33.69,-119.74,-111.8,-26.57,-156.801,-83.66,-125.538,98.13
-22.62,-101.31,65.77,90,-3.366,90,-90,32.735
-135,-63.43,-104.04,-90,-169.695,153.435,140.194,0
93.18,-122.47,171.87,-90,69.444,90,17.103,32.905
86.99,135,71.57,48.81,82.875,38.66,180,161.565
-55.01,127.87,-120.26,51.01,147.529,0,-80.134,-90
175.6,-30.96,15.95,-94.4,-165.964,-75.964,23.199,-90
-164.74,10.3,128.66,73.3,53.13,-90,24.444,7.125
-84.29,-143.97,-135,-147.53,-47.49,45,-19.983,14.036
129.81,-90,175.24,-176.19,2.726,-53.13,-49.399,79.695
-41.19,-54.46,33.69,88.21,-10.008,90,-169.38,-68.962
-111.25,90,-123.69,22.17,47.49,153.435,130.601,-111.038
-33.69,98.13,-94.4,-8.13,99.462,75.964,43.452,54.162
90,123.69,86.42,-81.87,0,128.66,0,-16.699
67.83,-121.76,56.31,8.13,-128.66,33.69,51.009,50.194
172.87,-154.65,69.44,-153.43,60.945,90,25.017,-50.194
39.81,-84.81,60.26,-159.44,-90,-45,0,-61.189
