Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
,,,-135,-49.086,17.354,-123.69,0
,,,56.31,37.875,-84.806,45,0
,,,-45,180,48.013,-90,71.565
,,,90,66.801,108.435,0,-142.431
,,,-90,-11.31,11.31,-8.13,-177.614
,,,-135,23.962,78.69,-81.254,173.66
,,,57.995,-90,90,129.806,24.444
,,,14.036,83.884,90,-52.125,-116.565
,,,90,-90,82.875,90,-113.962
,,,-137.121,52.125,37.875,132.709,-55.305
,,,63.435,-102.529,-81.87,-11.31,-135
,,,23.199,95.711,21.371,-95.711,94.399
,,,-71.565,-126.384,0,180,-119.745
,,,78.69,45,-38.66,52.125,98.746
,,,90,69.444,0,-100.305,78.232
,,,-90,77.905,141.34,0,48.814
,,,94.086,180,-90,104.036,161.565
,,,90,84.289,180,-48.366,-135
,,,-90,-90,-36.87,111.801,146.31
,,,175.601,-18.435,-22.62,-7.125,-57.995
,,,-51.34,,90,0,-51.34
,,,-86.82,,18.435,93.814,-128.66
,,,35.538,,-5.194,-100.62,-81.87
,,,173.29,,-56.31,-90,-4.086
,,,130.601,,-82.405,77.005,49.399
,,,95.711,,-175.601,-122.471,94.086
,,,-140.194,,-162.35,90,-167.471
,,,-6.34,,113.199,45,-131.186
,,,8.746,,-96.71,84.289,-145.305
,,,-140.194,,-99.462,-30.964,-75.964
,,,149.744,,-14.931,45,180
,,,104.036,,-15.255,-122.276,153.435
,,,-70.71,,-176.634,99.462,-123.69
,,,9.462,,-33.69,95.711,-102.529
,,,29.745,,-36.87,-78.69,90
,,,0,,68.199,-75.964,-147.724
,,,180,,10.305,180,-77.471
,,,-7.125,,90,-82.875,45
,,,180,,-32.005,-174.289,56.976
,,,-90,,119.055,-146.31,66.251
,,,-56.31,,21.038,-41.987,-38.157
,,,10.305,,0,-93.814,72.646
,,,29.745,,-55.305,-30.964,-5.194
,,,90,,4.399,-83.66,180
,,,75.964,,12.995,-80.538,5.711
,,,-142.125,,6.71,47.49,135
,,,-80.538,,-78.69,-77.471,-177.614
,,,22.834,,23.199,-56.31,60.945
,,,72.646,,-90,-52.431,-90
,,,45,,-7.125,-90,99.462
,,,12.995,,180,-23.199,0
,,,-81.254,,180,111.038,180
,,,37.875,,-116.565,-106.699,11.31
,,,75.964,,-90,-21.801,-7.125
,,,-135,,-120.964,-140.194,180
,,,7.125,,26.565,4.764,33.69
,,,-77.471,,0,-49.399,-86.186
,,,111.801,,-68.199,-130.236,31.608
,,,-124.509,,129.806,63.435,59.744
,,,82.875,,-80.538,-3.814,-56.31
,,,-67.38,,0,-60.255,-71.565
,,,-72.646,,-98.13,-90,-84.806
,,,90,,180,-90,-90
,,,45,,78.69,42.51,-147.995
,,,7.595,,0,80.538,0
,,,45,,0,75.964,26.565
,,,39.806,,180,-118.301,75.964
,,,-170.538,,-130.601,148.57,-74.055
,,,108.435,,-90,-30.466,-14.036
,,,53.13,,-90,72.897,57.529
,,,-116.565,,120.256,90,-116.565
,,,-36.87,,0,135,-90
,,,57.529,,135,96.71,-172.875
,,,-11.31,,36.87,90,63.435
,,,-90,,71.565,-8.13,-111.251
,,,-11.31,,49.399,-97.125,33.69
,,,-35.538,,96.34,-18.435,36.87
,,,-174.289,,0,23.629,-80.538
,,,0,,-90,-111.801,90
,,,-120.964,,45,90,-45
,,,-98.13,,153.435,-3.814,50.711
,,,-156.038,,71.565,0,-90
,,,45,,45,23.962,29.745
,,,83.66,,135,113.962,-75.964
,,,53.13,,135,-120.256,14.036
,,,85.601,,,-110.556,0
,,,0,,,-174.806,7.125
,,,4.764,,,-90,90
,,,-84.806,,,37.875,82.875
,,,4.764,,,-4.086,-69.444
,,,93.576,,,0,-96.34
,,,94.086,,,-81.87,66.038
,,,69.444,,,0,-153.435
,,,11.31,,,90,-100.784
,,,0,,,75.964,47.121
,,,-128.66,,,-90,47.121
,,,0,,,0,-24.775
,,,35.538,,,-10.305,39.806
,,,26.565,,,-8.13,78.69
,,,-161.565,,,-90,38.157
,,,4.764,,,-102.995,-129.806
,,,0,,,-106.39,-78.69
,,,-75.964,,,0,47.291
,,,-90,,,31.608,169.695
,,,-144.462,,,37.875,-101.889
,,,-141.34,,,-147.095,66.038
,,,-170.538,,,12.995,-101.31
,,,-45,,,90,-81.87
,,,-135,,,135,-90
,,,-75.964,,,-167.471,-28.61
,,,180,,,-23.199,-94.764
,,,-51.34,,,-175.914,98.13
,,,-80.538,,,135,8.13
,,,0,,,108.435,-98.973
,,,71.565,,,165.964,90
,,,165.964,,,180,153.435
,,,-169.695,,,90,-20.556
,,,135,,,33.69,0
,,,-90,,,-129.806,-159.444
,,,90,,,16.699,-93.814
,,,26.565,,,5.194,-45
,,,-53.13,,,-90,-90
,,,39.806,,,90,-124.695
,,,-95.194,,,100.305,86.424
,,,-82.875,,,-165.964,-90
,,,-80.538,,,78.69,87.138
,,,90,,,-85.601,-114.775
,,,180,,,-90,14.036
,,,-104.036,,,56.31,-128.66
,,,-94.764,,,170.134,-86.186
,,,-7.125,,,90,0
,,,,,,135,0
,,,,,,-69.444,128.66
,,,,,,135,32.005
,,,,,,30.256,-97.125
,,,,,,63.435,-90
,,,,,,-80.538,-36.87
,,,,,,-93.013,90
,,,,,,-61.39,138.814
,,,,,,90,85.914
,,,,,,29.745,-90
,,,,,,-36.87,-83.66
,,,,,,-45,90
,,,,,,167.005,33.69
,,,,,,33.69,45
,,,,,,-90,40.601
,,,,,,0,-86.424
,,,,,,-82.875,-90
,,,,,,0,78.69
,,,,,,-142.431,56.31
,,,,,,-56.31,-75.964
,,,,,,-81.027,-75.964
,,,,,,96.71,90
,,,,,,-81.027,58.392
,,,,,,-90,56.31
,,,,,,-90,17.103
,,,,,,39.289,-138.366
,,,,,,-119.055,-171.87
,,,,,,-83.991,59.036
,,,,,,108.435,-90
,,,,,,52.125,-138.814
,,,,,,-15.945,53.13
,,,,,,21.801,84.806
,,,,,,-105.945,-93.18
,,,,,,-78.69,-38.66
,,,,,,-83.991,-55.305
,,,,,,-45,-30.256
,,,,,,32.005,-10.305
,,,,,,-8.531,-90
,,,,,,71.565,4.086
,,,,,,-84.289,163.301
,,,,,,47.291,-5.194
,,,,,,21.801,50.194
,,,,,,-112.834,36.87
,,,,,,-105.945,-21.801
,,,,,,15.255,-26.565
,,,,,,-95.711,-50.906
,,,,,,-61.699,63.435
,,,,,,68.749,-116.565
,,,,,,-90,-122.005
,,,,,,90,110.556
,,,,,,60.255,-113.199
,,,,,,-93.814,-101.31
,,,,,,-85.914,29.055
,,,,,,-99.462,-96.34
,,,,,,0,-95.194
,,,,,,71.565,-85.601
,,,,,,8.13,90
,,,,,,71.565,90
,,,,,,0,-78.69
,,,,,,-71.565,-45
,,,,,,60.255,-100.008
,,,,,,101.31,0
,,,,,,-75.964,-59.036
,,,,,,-98.13,-135
,,,,,,180,90
,,,,,,-98.13,115.017
,,,,,,-33.69,114.444
,,,,,,45,-90
,,,,,,38.66,57.529
,,,,,,-165.964,-85.601
,,,,,,84.806,31.608
,,,,,,-45,-140.528
,,,,,,-45,47.49
,,,,,,-90,0
,,,,,,-90,-168.69
,,,,,,111.801,-40.601
,,,,,,,0
,,,,,,,180
,,,,,,,-122.471
,,,,,,,135
,,,,,,,128.66
,,,,,,,140.194
,,,,,,,-25.017
,,,,,,,175.914
,,,,,,,-112.62
,,,,,,,45
,,,,,,,75.964
,,,,,,,12.804
,,,,,,,0
,,,,,,,90
,,,,,,,-60.945
,,,,,,,109.799
,,,,,,,-82.875
,,,,,,,-93.576
,,,,,,,-73.301
,,,,,,,-79.992
,,,,,,,56.31
,,,,,,,95.711
,,,,,,,-129.806
,,,,,,,28.301
,,,,,,,68.199
,,,,,,,-102.095
,,,,,,,56.31
,,,,,,,-32.471
,,,,,,,72.646
,,,,,,,-135
,,,,,,,53.973
,,,,,,,12.995
,,,,,,,-109.654
,,,,,,,77.471
,,,,,,,-100.008
,,,,,,,153.435
,,,,,,,0
,,,,,,,68.199
,,,,,,,-135
,,,,,,,-90
,,,,,,,-78.69
,,,,,,,69.444
,,,,,,,161.565
,,,,,,,99.462
,,,,,,,-165.964
,,,,,,,-33.69
,,,,,,,-84.806
,,,,,,,-5.711
,,,,,,,74.055
,,,,,,,137.121
,,,,,,,-6.009
,,,,,,,-131.186
,,,,,,,159.444
,,,,,,,8.13
,,,,,,,59.744
,,,,,,,-108.435
,,,,,,,172.405
,,,,,,,150.945
,,,,,,,26.565
,,,,,,,34.992
,,,,,,,-131.987
,,,,,,,135
,,,,,,,120.256
,,,,,,,-80.538
,,,,,,,-37.569
,,,,,,,141.34
,,,,,,,135
,,,,,,,31.329
,,,,,,,85.236
,,,,,,,-90
,,,,,,,-75.964
,,,,,,,143.13
,,,,,,,0
,,,,,,,-90
,,,,,,,-95.194
,,,,,,,-111.801
,,,,,,,-80.538
,,,,,,,0
,,,,,,,-104.036
,,,,,,,90
,,,,,,,74.055
,,,,,,,81.87
,,,,,,,-45
,,,,,,,-63.435
,,,,,,,90
,,,,,,,-123.69
,,,,,,,90
,,,,,,,165.964
,,,,,,,-90
,,,,,,,-90
,,,,,,,161.565
,,,,,,,-98.13
,,,,,,,26.565
,,,,,,,-99.462
,,,,,,,-108.435
