Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
-149.04,90,35.54,-21.8,-2.6,-106.39,74.48,67.38
-69.44,97.13,-164.74,4.76,85.91,0,-22.62,-63.43
-168.69,81.03,-75.96,-90,-149.04,11.31,14.04,135
-11.31,66.8,174.29,-40.24,-21.04,174.29,-15.95,93.58
-90,-40.6,3.58,82.87,-57.09,-69.44,180,78.69
-69.44,135,-97.13,-20.56,-124.7,-3.58,-58.39,-171.87
-158.2,-116.57,-158.96,-74.05,-119.74,20.22,-153.43,33.02
-63.43,97.59,-85.91,-47.73,-90,-61.39,53.13,173.29
80.54,11.31,111.8,45,-79.7,49.76,74.05,-136.74
29.74,7.13,153.43,-67.38,-168.69,60.52,-8.13,101.31
-26.57,-98.75,180,-55.01,111.8,38.66,135,-8.13
13.39,173.29,-123.69,-80.54,123.69,6.71,135,-101.31
105.95,180,-135,7.13,-139.4,-25.2,-90,-90
-98.13,-131.63,-138.81,92.6,180,20.85,90,1.85
175.6,30.96,-120.96,24.44,-135,-122.01,93.81,90
-141.84,-98.13,-108.43,-39.09,-164.05,-25.35,10.89,-29.05
-71.57,71.57,24.78,-124.51,55.01,-26.57,98.75,90
53.97,0,-63.43,-63.43,127.41,-45,-119.98,-11.31
-118.07,-90,-83.66,180,96.71,7.13,-52.13,-5.19
0,165.96,61.93,-5.19,180,169.7,180,-162.65
-128.66,109.29,-123.69,-5.19,-105.26,-51.34,0,-41.63
-5.19,26.57,-71.57,-128.66,-98.13,14.04,66.04,78.23
15.95,-160.02,-123.69,-140.19,3.18,-135,-98.97,-159.44
-96.01,-108.43,-113.2,167.91,153.43,-67.38,-56.77,-14.04
92.6,30.96,-101.31,52.13,163.3,47.12,3.81,-86.99
-100.62,-135,45,-12.09,-78.69,3.81,69.44,-15.26
180,-108.43,-135,-90,-175.6,-119.74,49.4,-90
-39.81,-81.87,180,-92.73,10.3,-47.12,-23.96,180
0,-45,-153.43,126.87,-137.29,164.05,72.65,38.66
-153.43,-55.3,45,163.3,135,132.71,34.29,63.43
43.03,41.99,180,57.53,-39.81,-27.35,149.04,90
128.66,0,-18.43,37.87,-158.2,21.8,-124.7,77.47
-90,-105.26,-45,-157.17,127.57,84.81,138.37,-165.96
9.46,-53.13,123.69,-172.87,-11.69,0,24.78,83.66
93.58,9.46,-80.54,-26.57,-106.7,148.39,-141.34,72.65
140.19,-147.99,-146.31,4.4,-45,-45,135,116.57
-141.34,11.31,-63.43,-12.99,52.13,4.76,-144.25,-26.57
66.04,68.2,180,-153.43,119.05,-86.19,0,36.87
-101.31,-131.99,-63.43,-5.19,-86.99,-75.96,90,-45
0,-172.87,135,72.35,24.78,-3.01,-69.44,-120.96
26.57,-168.69,45,-135,-140.71,-68.2,-85.6,-11.31
18.43,0,90,70.82,6.34,33.69,84.29,90
-141.34,-18.43,0,12.8,-126.87,-79.99,-59.04,-71.57
171.87,141.34,0,84.29,-144.46,-36.87,-122.47,-30.96
51.34,135,18.43,120.26,37.87,75.96,-113.2,0
45,-45,-145.3,123.69,-135,-153.43,72.26,-63.43
63.43,-110.56,-142.43,12.99,11.31,-111.8,-160.56,126.87
-90,-30.96,0,-61.93,-45,0,75.38,0
-156.04,66.04,47.29,-94.09,-149.74,-8.13,-16.7,-26.57
180,-38.66,-175.91,59.74,-45,56.31,-97.13,-165.96
-54.46,-176.82,-75.96,53.13,33.69,-137.12,-31.61,168.69
9.46,-162.9,82.87,92.6,-18.43,-126.87,5.19,90
-150.26,23.2,62.1,-165.96,-135,-75.96,-17.1,0
54.46,108.43,-53.13,45,59.04,-90,-145.3,-108.43
-63.43,-53.97,-167.47,-90,-68.2,-90,-80.54,-26.57
-14.04,-171.87,-32.91,-146.31,-56.31,90,-40.6,180
-90,40.6,-171.25,144.46,33.69,-128.66,-120.96,21.25
0,-119.98,-101.31,138.37,105.95,-90,-90,-4.76
-12.88,-90,-149.74,54.46,0,-33.69,-147.09,-164.48
142.35,33.69,57.26,78.69,-56.31,0,-68.96,168.11
-146.31,-144.78,3.58,18.43,45,68.2,0,-3.58
135,90,176.19,-96.34,15.26,104.04,-74.74,45
175.91,-90,172.87,-90,0,171.87,81.87,-73.61
-68.75,84.81,180,-85.6,63.43,-106.26,0,75.38
12.09,-85.6,-116.57,-159.44,158.2,180,45,-135
66.8,-90,-61.7,-97.13,-163.3,-41.63,77.47,78.11
-138.37,78.69,180,15.95,39.81,131.63,146.31,-32.01
-143.97,180,180,0,-14.04,-65.22,53.13,-21.8
-15.95,-90,172.87,36.87,51.34,145.3,-33.69,30.26
39.29,-109.98,132.27,-136.97,170.54,-30.96,180,-174.81
-45,-63.43,-42.88,-136.47,-122.62,0,180,175.91
-39.47,-127.87,-122.47,-163.3,-18.43,-66.04,63.43,180
-4.4,-135,-113.96,-37.87,-53.97,-26.56,-48.81,-26.57
-35.22,-128.16,-95.19,29.74,26.57,-104.04,-120.96,97.13
-171.57,-32.01,90,-92.86,38.29,0,63.43,8.13
-101.31,-175.91,-36.87,135,-172.41,-159.44,81.87,0
-64.54,-135,173.66,125.84,135,-45,-116.57,6.34
-77.91,173.66,-147.53,111.25,-113.2,180,-123.69,36.87
-98.97,-75.96,-144.46,0,67.38,97.59,71.57,-49.76
3.01,-90,12.53,-90,-26.57,-168.69,-161.57,39.09
-153.43,180,142.13,-90,-29.74,61.93,-36.87,70.82
180,-120.96,171.03,161.57,-133.15,-2.86,-84.81,130.6
172.87,-116.57,-38.66,180,14.04,4.76,116.57,-157.07
-139.9,37.57,-131.63,165.96,0,10.62,116.57,4.24
116.57,25.02,-146.31,75.96,0,46.47,-8.13,-127.41
90,-69.15,116.57,0,-108.43,-90,-24.62,113.5
-36.03,26.57,63.43,111.8,-90,-36.87,-43.73,-52.13
136.74,63.43,-29.74,90,-21.8,23.2,28.61,-90
171.47,90,-165.07,-30.96,-102.99,-160.02,0,-90
52.43,105.95,118.61,-90,-7.13,-171.25,75.96,-90
-106.7,-108.43,26.57,-143.13,-90,-110.56,-16.39,-161.57
-23.43,147.99,63.43,172.87,-81.25,94.4,-148.39,-28.07
180,-130.6,-147.53,-90,0,-52.13,-68.55,22.93
-122.91,-3.37,-35.54,50.19,60.95,-17.65,90,-58.57
-2.86,-143.13,12.53,167.91,-51.34,-68.2,57.26,-122.01
-120.47,-57.99,165.96,19.98,-39.81,11.31,20.56,-46.85
-135,99.87,-99.46,-176.82,36.53,-51.01,-30.26,-46.64
31.43,-56.31,120.96,30.96,-28.61,-4.4,-24.78,180
3.37,90,120.26,26.57,97.13,-74.74,-17.88,-50.19
165.96,-54.46,-171.87,-150.95,-11.31,-18.43,141.34,-15.95
-9.46,-36.03,-126.03,-165.47,-158.2,28.44,-17.53,-77.01
5.71,-123.69,-51.34,-142.43,-129.81,36.87,-171.38,-152.7
-3.81,-143.13,-96.01,115.56,63.43,37.87,-30.96,-90
156.8,-121.61,-10.01,26.57,-61.39,12.53,135,14.04
169.38,-139.9,-93.58,-124.7,55.71,-90,45,-97.13
77.28,-122.47,-148.39,-27.55,138.81,154.98,36.38,-145.01
-149.53,175.24,-116.57,-56.31,-19.29,17.74,81.87,-30.96
-94.4,35.54,-29.74,-73.07,-21.04,-36.03,-176.05,152.24
-135.83,-2.12,-126.03,-86.05,-149.74,149.53,25.2,-12.09
32.74,-106.61,-113.96,-173.66,7.13,180,129.29,-120.96
40.24,-77.47,50.19,-175.91,32.74,-9.46,165.96,45
180,180,-139.4,175.6,-127.41,171.87,102.99,15.26
178.49,-168.69,-114.44,177.51,-84.81,-72.65,167.01,-95.71
-54.46,-155.22,105.95,-176.63,-90,94.4,-74.05,37.18
-35.54,30.07,-71.57,21.8,37.41,29.74,-92.39,42.51
180,-129.29,-64.98,-122.47,-153.43,149.04,-11.31,146.31
94.09,-158.2,14.93,9.46,-20.56,22.62,-153.43,36.87
-138.81,-174.81,156.8,69.44,-75.96,-66.8,-135,38.66
-144.46,-127.57,-147.26,-90,-127.87,0,16.7,-80.54
-84.81,0,-20.56,-140.19,-130.43,59.35,-123.69,35.84
68.2,180,0,77.47,-22.83,34.38,12.53,0
-111.8,0,-153.43,76.61,-147.26,90,37.57,113.2
-116.57,180,-90,161.57,17.24,70.71,0,140.71
-40.36,90,0,62.1,70.71,-150.95,30.07,-146.31
-90,-45,90,-134.12,-98.13,21.04,180,10.01
-78.69,0,-135,65.56,-35.54,-36.87,-83.66,-45
90,-172.87,-8.13,-75.07,-94.4,-137.12,0,33.69
-90,-120.96,41.19,65.56,-119.36,135,0,-111.04
45,90,28.07,-90,95.19,45,-160.35,0
0,-36.87,18.43,138.18,34.99,-138.81,8.13,-118.3
151.39,,-12.53,-122.2,14.04,-60.26,108.43,131.19
-143.13,,175.24,82.87,-90,-2.49,-153.43,14.04
0,,180,33.69,38.66,45,-109.98,-29.74
-130.6,,98.75,33.69,-105.26,26.57,-138.81,-3.47
-56.31,,-38.66,165.26,48.81,21.8,128.66,-85.24
-7.13,,0,148.82,-175.91,-49.4,-23.2,-98.13
37.87,,165.96,-121.26,3.58,-90,54.46,-135
0,,70.02,102.72,74.74,-129.81,-173.66,-48.81
26.57,,-128.66,122.01,-31.43,36.87,-94.4,130.24
,,90,95.19,-131.63,90,-122.47,7.59
,,0,-90,10.01,43.03,-90,-120.96
,,0,60.02,43.45,-126.25,-38.66,45
,,180,-11.31,61.39,113.96,14.04,-26.57
,,-150.95,-153.43,-21.8,71.57,92.86,-54.16
,,-30.96,-34.9,145.01,21.8,166.76,46.17
,,-26.57,40.24,180,-58.67,-90,112.38
,,90,0,135,62.1,-90,22.25
,,-125.54,176.42,2.49,30.96,47.73,-4.4
,,85.91,-3.37,-150.95,81.03,174.81,45
,,-108.43,162.65,180,0,-122.01,0
,,-108.43,-171.87,22.25,0,21.8,-90
,,165.96,118.18,-77.91,-150.95,135,45
,,-80.54,83.99,-131.19,-15.64,130.6,-46.08
,,90,-121.76,-46.33,30.96,-172.87,79.7
,,-19.44,-160.46,-90,32.47,-155.22,-90
,,-111.8,106.93,60.64,83.66,78.69,-57.53
,,-90,113.2,-8.13,116.57,95.19,25.02
,,,77.91,90,28.74,-21.8,-56.31
,,,-141.34,180,123.23,-158.2,90
,,,120.26,-28.3,-9.46,19.65,96.01
,,,-139.97,48.99,19.65,-33.69,104.04
,,,-144.46,-128.16,-90,-74.74,41.99
,,,25.46,-156.8,12.53,-142.13,0
,,,-103.63,-59.04,14.04,146.31,-26.57
,,,-172.87,-81.03,-153.43,-146.31,-108.43
,,,-26.57,-56.31,9.46,-32.91,121.61
,,,173.99,-121.26,-168.69,-156.37,116.57
,,,-3.01,-53.13,-45,118.61,-52.13
,,,163.3,-93.81,-26.57,-10.78,52.43
,,,-127.87,12.09,137.49,0,82.87
,,,-173.66,163.3,90,-95.19,-50.83
,,,30.26,-58.67,4.76,-7.59,26.57
,,,-90,-172.41,5.71,-90,74.93
,,,-176.63,-170.13,-87.4,-85.24,-138.37
,,,-158.75,-82.87,24.78,-162.65,-143.13
,,,139.97,-16.7,166.76,16.39,-120.38
,,,-84.81,29.74,16.26,14.04,-41.99
,,,144.78,-9.46,100.62,63.43,-137.73
,,,43.26,180,90,-90,90
,,,-46.74,-79.38,-152.24,141.95,116.57
,,,-128.16,-55.49,-31.43,-90,3.81
,,,102.09,-172.87,55.3,14.74,-90
,,,-135,-6.34,2.6,-42.27,-90
,,,126.87,-4.97,-47.73,-100.89,0
,,,148.5,-9.46,15.95,28.81,-45
,,,127.87,113.75,53.13,-48.81,52.13
,,,-120.96,-21.8,40.6,-94.09,-19.98
,,,-23.96,-94.09,147.99,-167.2,-4.09
,,,-94.09,87.61,-129.81,80.13,137.12
,,,-71.57,-99.46,18.43,11.31,141.01
,,,12.99,8.13,0,180,-135
,,,-120.07,-117.9,135,-65.56,-10.01
,,,-45,-83.99,-29.36,-108.43,41.63
,,,-135,65.56,88.09,8.13,68.55
,,,-151.93,-156.37,-135,143.97,-90
,,,-171.87,45,-164.36,180,-45
,,,-109.65,33.69,-9.73,90,-147.53
,,,7.13,-122.74,-2.73,-17.35,-120.96
,,,0,-14.04,28.3,45,29.05
,,,135,-45,11.31,-176.42,0
,,,-119.74,3.81,45,85.6,141.95
,,,-125.54,30.96,-144.16,-171.87,86.63
,,,-98.13,70.56,0,0,-31.33
,,,-107.1,-80.54,-129.81,-4.76,-104.04
,,,180,9.46,20.56,-67.38,80.54
,,,-171.87,105.95,-18.43,85.24,-81.03
,,,-84.29,24.23,63.43,-46.47,48.58
,,,180,49.4,-56.31,135,34.7
,,,158.2,151.93,-138.37,-90,-75.96
,,,-101.31,-90,-129.81,-33.69,-137.49
,,,-90,123.02,42.51,-129.4,0
,,,0,60.95,180,55.01,95.71
,,,-146.31,-144.46,47.12,116.57,55.62
,,,135,50.19,-152.35,61.39,28.44
,,,0,-26.57,9.46,175.24,174.29
,,,32.47,175.6,32.47,10.3,-135
,,,180,71.57,-49.76,127.3,180
,,,,47.29,66.37,-70.91,-90
,,,,-4.09,57.72,0,14.04
,,,,-23.2,-131.19,0,-69.44
,,,,-4.76,138.37,-48.37,0
,,,,45,35.13,139.18,-45
,,,,66.8,-149.04,0,-8.13
,,,,-175.91,12.99,-38.66,-68.2
,,,,164.05,-18.43,-19.18,36.87
,,,,4.9,90,-38.66,-75.96
,,,,-2.86,-135,10.3,0
,,,,45,-30.96,-29.05,75.96
,,,,-12.53,-106.39,0,-29.05
,,,,-93.58,-54.16,27.47,90
,,,,128.99,-138.01,46.4,0
,,,,-163.3,40.36,-59.93,0
,,,,-153.43,180,-68.96,0
,,,,-30.26,-51.01,83.66,21.8
,,,,28.07,71.57,106.93,0
,,,,87.71,11.56,137.12,-4.09
,,,,135,33.69,-140.19,-21.25
,,,,-77.47,59.04,3.81,78.69
,,,,-83.66,-94.4,9.46,-33.69
,,,,79.7,-84.56,12.99,-78.69
,,,,-116.57,-63.43,-16.7,75.07
,,,,-45,41.63,-23.63,105.26
,,,,-41.82,-123.69,51.34,-29.05
,,,,111.8,135,-14.04,102.99
,,,,169.7,180,-104.04,180
,,,,-90,-94.4,16.7,-108.43
,,,,-74.74,0,-10.3,-169.22
,,,,98.13,6.34,30.26,80.84
,,,,-85.24,-98.13,135,0
,,,,-16.7,36.87,-40.6,-18.43
,,,,0,70.35,-94.4,-32.28
,,,,135,-145.3,-36.87,95.19
,,,,-26.57,-34.99,-7.13,139.64
,,,,90,-56.31,-111.8,-75.07
,,,,-161.57,50.71,-36.03,-126.87
,,,,180,-95.19,0,59.04
,,,,0,82.87,0,149.04
,,,,-139.4,-129.29,-78.69,-47.29
,,,,-23.2,-104.74,-93.01,-19.44
,,,,-68.2,81.87,60.95,-59.04
,,,,-26.57,79.7,-35.13,2.86
,,,,-26.57,0,0,162.47
,,,,17.1,161.57,0,51.34
,,,,-54.46,73.3,-84.47,51.34
,,,,-74.74,108.43,36.87,6.63
,,,,-45,116.57,-57.53,77.2
,,,,23.2,0,135,-61.39
,,,,11.31,-29.74,-63.43,-2.2
,,,,0,-48.37,-11.31,85.43
,,,,-47.49,-90,-45,-109.18
,,,,-74.05,-116.57,-163.3,-7.13
,,,,-15.95,168.69,83.66,98.13
,,,,-47.29,-116.57,-7.13,30.96
,,,,0,-38.66,39.29,8.75
,,,,-53.75,-63.43,45,109.86
,,,,-172.87,-90,-30.96,102.09
,,,,23.96,-36.03,-90,63.43
,,,,-93.18,-11.31,-119.05,104.74
,,,,-21.8,-116.57,-38.66,-163.3
,,,,-10.3,-116,117.55,68.96
,,,,0,5.19,-56.31,-133.99
,,,,175.24,-3.27,-14.04,0
,,,,90,-80.54,-122.01,-135
,,,,90,-53.13,0,68.2
,,,,-158.2,-141.34,-7.13,-146.98
,,,,-36.87,180,18.43,-11.31
,,,,-90,0,47.73,-163.3
,,,,0,-3.81,0,-87.27
,,,,-26.57,21.8,71.57,56.31
,,,,11.31,-109.09,111.8,-141.34
,,,,38.99,40.82,171.87,76.61
,,,,81.25,142.31,-105.95,-28.07
,,,,-128.16,32.01,26.57,-139.76
,,,,-30.26,167.74,0,-133.03
,,,,-143.13,12.09,-45,-85.24
,,,,-130.6,-49.4,-90,-86.99
,,,,19.54,45,-90,172.87
,,,,-65.22,138.81,7.59,-45
,,,,-29.74,18.43,43.45,63.43
,,,,-16.26,-157.38,-176.42,-5.71
,,,,60.95,-45,0,-22.38
,,,,-15.95,-141.34,72.76,77.47
,,,,90,36.57,-72.9,84.29
,,,,-139.09,-99.46,-139.4,153.43
,,,,-23.2,0,-66.37,10.01
,,,,-131.63,180,39.09,-173.16
,,,,-8.13,9.46,14.83,65.77
,,,,-93.58,16.7,-95.71,39.81
,,,,167.47,113.5,-174.29,-71.57
,,,,-4.57,-41.19,-153.43,72.9
,,,,-50.71,22.83,49.76,32.01
,,,,90,140.19,45,45
,,,,-41.19,49.09,18.43,99.46
,,,,-4.09,90,36.87,41.99
,,,,64.44,-31.76,-90,6.34
,,,,-32.47,-7.59,-7.13,65.56
,,,,-78.69,-90,-26.57,80.54
,,,,86.99,-26.57,-126.87,-8.75
,,,,-78.69,41.63,39.81,42.51
,,,,0,83.99,-90,55.49
,,,,-171.87,71.57,-159.78,-61.7
,,,,-29.74,-145.01,-108.43,63.43
,,,,69.44,52.7,0,54.78
,,,,32.47,60.95,-111.04,41.19
,,,,-90,17.53,36.03,50.71
,,,,-142.43,-22.38,-153.43,-94.24
,,,,-126.87,-115.46,135,-41.63
,,,,-90,-109.09,-151.39,-67.62
,,,,7.13,135,-140.71,99.46
,,,,-51.71,74.48,-140.19,180
,,,,31.61,5.71,135,5.44
,,,,180,116.57,90,-8.13
,,,,45,0,-113.2,-83.66
,,,,57.53,0,-98.13,30.14
,,,,-90,23.96,77.01,-153.43
,,,,-128.16,2.29,-176.19,-65.56
,,,,-98.13,-5.71,-47.49,-83.66
,,,,-29.05,8.53,129.81,-3.81
,,,,3.01,0,-90,99.46
,,,,-122.47,42.88,-90,81.87
,,,,82.41,-136.97,-28.61,-19.44
,,,,11.31,-156.04,59.04,135
,,,,0,-63.43,45,-169.7
,,,,174.29,-60.95,169.7,8.75
,,,,0,-172.87,-163.61,18.43
,,,,-30.07,30.96,-80.54,90
,,,,67.17,-124.7,-105.95,50.91
,,,,-50.53,-4.4,-169.22,63.43
,,,,0,-26.57,-5.19,120.96
,,,,-155.85,175.24,60.95,-6.34
,,,,56.31,-174.81,-34.51,-107.1
,,,,-70.35,36.87,180,75.96
,,,,-84.56,19.98,0,78.23
,,,,-8.13,-40.03,6.34,-45
,,,,-81.25,115.2,180,0
,,,,66.8,-40.6,-30.07,90
,,,,-26.57,82.41,138.81,180
,,,,180,72.65,-4.09,-93.58
,,,,-90,-116.57,108.43,-160.56
,,,,28.61,-116.57,32.47,59.74
,,,,169.38,-4.09,12.99,-106.39
,,,,-57.53,-4.09,161.57,-39.81
,,,,115.46,-4.09,29.74,-33.69
,,,,-51.63,143.13,-146.31,26.57
,,,,70.02,6.71,-138.81,-116.57
,,,,-30.47,69.44,-139.4,-39.81
,,,,46.22,-78.69,80.22,-100.3
,,,,-54.46,-128.66,172.41,9.46
,,,,77.01,45,11.31,180
,,,,30.58,-149.04,0,-71.57
,,,,116.57,22.62,-90,
,,,,3.58,16.7,77.47,
,,,,28.61,-153.43,-12.99,
,,,,90,180,-126.87,
,,,,-54.46,-49.4,29.25,
,,,,32.91,180,-24.78,
,,,,-66.8,-123.69,90,
,,,,28.61,-162.65,38.16,
,,,,-8.62,-80.54,-45,
,,,,-49.4,-75.07,13.24,
,,,,-141.84,12.53,-116.57,
