Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
-90,39.09,26.57,-27.9,-60.26,-92.73,33.69,-106.86
178.36,-120.38,-48.37,-75.96,143.13,-3.37,75.96,32.62
-107.1,-22.62,-144.46,79.38,-147.99,-42.71,-126.87,59.93
180,52.13,35.54,171.87,-68.2,-123.69,164.05,52.31
180,8.75,-35.84,17.1,0,90,-161.57,90
-150.95,32.91,82.57,85.91,180,73.61,-122.28,77.01
-85.6,127.87,92.2,132.51,-48.81,-32.47,-48.37,-63.43
-109.09,-3.58,180,-157.07,48.81,-64.65,11.31,45
0,-94.76,-130.03,-105.95,18.43,-168.69,90,0
-90,90,-117.98,110.56,147.99,-26.57,-33.69,49.09
-136.74,135,0,24.23,-135,-54.46,54.78,122.2
-45,47.12,4.76,-27.9,-6.71,149.74,105.95,14.93
-45,-42.27,-79.22,-175.91,-149.74,84.29,21.25,-65.56
-140.91,161.57,0,-53.13,111.04,-54.46,-32.01,79.7
-67.38,-31.61,-137.39,-23.96,-131.99,78.69,-38.66,-61.26
-60.64,49.76,-121.22,-116.57,45,-140.71,-15.26,-39.81
90,-84.29,154.8,6.34,-12.53,-90,-19.65,-175.24
-2.39,-111.8,44.06,-46.85,113.2,48.37,29.74,17.53
-45,-17.1,-71.57,-13.39,-82.41,-72.65,38.16,145.12
-35.54,-45,-3.81,147.26,85.6,66.37,12.72,-7.13
-144.64,-165.96,-56.31,-38.66,180,-140.19,-9.46,-49.76
12.53,90,-142.13,-29.74,-112.38,-54.46,173.66,-22.25
163.5,52.31,180,-49.9,-38.66,128.66,-168.69,0
122.28,46.74,98.13,-78.11,-90,-149.04,74.74,-133.45
-174.96,162.9,-109.54,-67.62,-120.96,-130.6,4.09,30.07
-10.12,93.37,-50.53,-22.38,58.57,-3.58,-93.81,52.7
-167.91,-99.93,81.25,-116.57,-54.16,0,-161.57,42.51
158.63,96.01,177.61,-85.6,-28.61,79.7,59.04,-6.71
-172.87,-4.09,138.01,-63.43,-128.66,3.58,-55.01,7.39
20.22,30.26,-104.74,84.29,-54.46,82.87,68.2,7.13
-161.03,-3.37,-24.44,-114.78,-8.13,58.57,-50.19,-33.69
-35.05,-133.53,-153.43,75.96,-8.13,-100.78,120.47,90
-130.24,-112.62,-135,128.66,21.25,63.43,0,18.43
54.46,-176.82,-90,0,106.7,135,-68.96,-27.76
167.47,-78.69,-8.97,-70.02,51.34,113.63,-90,-45
0,-108.43,1.79,164.05,-16.7,48.37,-64.98,41.99
0,-136.97,-41.19,-14.04,0,-143.13,-142.43,26.57
-137.29,-19.98,176.05,57.2,-7.59,40.1,26.57,-29.74
-82.87,-33.02,34.99,-90,33.69,96.34,-45,-123.69
-113.96,21.8,93.01,-7.13,42.88,-143.97,50.19,-11.31
-26.57,39.61,-8.13,63.43,135,139.76,-40.6,-59.74
47.73,-162.76,-171.03,175.76,-156.04,-100.3,7.13,90
99.46,121.26,-69.68,37.41,-170.54,16.7,-153.43,-90
-137.86,135,151.39,47.73,-85.6,56.31,-138.37,135
-81.87,123.69,34.99,-90,-7.13,-58.39,-17.45,-90
100.3,-83.99,-53.13,-132.88,-74.05,29.05,-79.38,50.71
-135,84.29,-165.96,-127.3,-159.44,-84.81,0,-90
-102.53,-98.13,-90,33.23,-106.39,-141.34,-54.46,-49.4
-45,4.76,106.39,57.38,80.54,180,7.13,85.6
-11.31,97.31,82.87,-109.65,-18.43,-90,63.43,-96.34
108.43,-85.24,-135,55.01,37.57,57.99,-56.31,-81.87
-129.29,38.05,-74.74,-175.76,-36.03,-7.13,0,-53.84
-82.87,-8.97,-77.91,141.84,-94.4,21.8,-160.35,-80.54
29.74,180,-84.81,141.84,-82.87,63.43,180,170.54
180,165.47,-90,45,72.47,68.2,-57.99,6.34
-45,170.54,86.63,-170.54,-18.43,-55.49,10.01,-95.91
79.7,-90,-80.54,99.46,26.57,0,39.81,116.57
4.09,-21.8,135,43.15,-176.63,-171.25,71.57,135
-90,-112.25,-121.43,92.94,14.04,-24.44,75.96,61.39
-135,-40.36,-59.04,-18.43,-90,-48.37,90,78.69
-147.99,-77.62,90,-45,-149.74,-14.04,-131.19,7.13
36.87,-39.4,-14.04,41.76,-41.99,-5.71,-3.37,141.34
-129.81,-167.74,90,109.54,-18.43,0,146.31,0
30.96,156.8,-164.05,-143.13,-35.54,-153.43,90,66.04
0,-73.74,30.38,-156.8,-8.13,-29.05,-120.47,9.46
18.43,90,-67.52,-60.26,-4.4,122.74,140.19,75.96
-164.74,-100.3,0,104.74,-75.96,-22.62,-14.04,80.54
154.29,106.93,-36.87,-90,0,-4.09,-63.43,80.54
-14.04,-126.25,-110.56,101.31,-78.69,29.05,-111.8,19.98
-153.43,-153.43,-18.43,0,33.69,-132.27,-50.71,121.76
-126.25,-37.87,75.96,159.44,-90,6.34,-39.81,34.51
-75.96,-123.69,60.95,-8.88,-32.47,175.91,-48.37,-63.43
-167.47,-82.87,-77.47,3.58,-75.38,-159.44,65.56,24.23
-90,-173.66,17.1,90,-40.24,180,40.6,79.7
-135,58.39,-96.34,98.97,-37.41,-36.87,0,-152.53
-48.01,105.07,50.19,37.87,-50.71,-161.57,168.69,-61.93
-90,23.96,41.19,2.49,-174.81,-126.87,66.8,-40.36
-90,-75.07,21.8,62.1,108.43,16.7,-148.39,-119.74
-48.01,-95.19,52.13,105.95,73.61,76.61,-109.65,-131.19
-90,-168.69,-159.44,180,-26.57,43.26,81.87,163.3
-83.66,45,53.13,-178.49,33.69,56.31,54.46,55.49
-41.63,-49.4,-45,158.96,-29.74,-156.8,170.54,104.04
-104.04,95.19,96.34,99.09,-18.43,-65.22,53.97,81.87
180,114.44,-158.2,-37.41,-142.13,-28.07,131.99,-59.74
170.54,-131.99,-135,174.29,-146.31,-70.56,-140.71,-75.96
-161.57,-123.69,161.57,88.36,-98.97,2.6,180,-57.99
-98.75,90,-79.7,-32.01,-143.13,0,93.58,14.04
-158.2,-138.01,-158.2,63.43,-41.63,63.43,-74.74,73.3
180,14.04,-81.87,-50.19,-135,-5.71,8.13,66.37
92.73,-8.13,-149.74,-26.57,-79.7,-168.69,83.66,64.98
174.29,90,-141.34,0,135,-71.57,-90,8.13
54.46,-78.69,0,55.49,-143.13,-21.8,-13.24,111.8
0,-21.8,-172.87,129.29,-90,3.58,0,-43.45
167.47,-36.03,171.87,-98.13,41.63,0,-142.43,-57.53
173.66,54.46,-95.71,-173.66,-34.51,42.27,-8.13,41.99
115.02,170.54,-163.3,-119.74,141.34,32.74,-51.01,-37.57
61.93,4.97,-86.63,7.13,176.99,-77.01,-155.56,-9.46
72.9,-161.57,-126.87,-130.6,-125.84,23.63,56.31,42.71
-102.99,156.37,-159.44,-82.87,45,-17.1,12.53,-45
94.09,60.95,50.19,-175.6,-140.19,-156.8,48.37,39.09
0,-49.4,164.05,180,-120.26,-31.61,161.57,30.96
-33.69,-66.8,-135,-101.31,-37.41,2.86,8.13,-104.04
-142.43,-28.3,-48.81,75.96,-42.27,-90,144.46,12.09
-90,-90,180,135,-114.78,-42.27,65.85,104.04
14.04,-53.13,0,86.99,-173.99,-45,-22.25,-170.54
180,156.8,135,-15.26,137.73,150.95,-35.22,-75.07
101.31,59.04,-63.43,-137.49,-55.62,0,-133.83,-51.07
-52.13,-135,-165.96,139.76,-36.87,131.42,63.43,45
-86.42,-63.43,-135,-85.24,-135,8.13,-70.35,-64.8
11.31,-83.29,-45,84.09,41.99,40.6,-133.36,92.49
169.38,-156.04,-103.24,-165.26,-129.81,38.66,90,-65.22
5.19,47.29,-135,-163.61,109.65,-33.69,-101.89,-90
161.57,56.31,-90,8.13,-49.76,33.69,40.24,36.47
8.13,74.74,90,22.25,-167.47,-133.26,180,-10.3
58.39,-83.66,-143.75,-82.87,14.04,-113.63,7.77,170.54
-115.02,-93.81,-143.97,-121.61,34.38,-8.53,-56.31,30.96
80.54,-90,-143.97,-135,-34.51,-68.75,-135,-5.19
-55.3,8.13,90,-84.29,127.87,-9.46,-137.73,-12.99
-94.4,-82.87,86.42,-153.43,-146.31,-63.43,53.13,-47.73
